x,y
22.677628,37.096844
22.578506,36.87951
22.492659,36.92498
22.825775,37.09243
22.953064,37.222282
22.989262,37.53343
23.146568,37.45761
23.012436,37.377068
22.924065,37.50337
22.92695,37.2829
22.882462,37.14925
22.840982,37.039013
22.707006,36.94662
22.94705,37.47337
23.141409,37.87782
23.158367,37.81759
23.13447,37.707382
23.23325,37.89795
23.151451,37.806145
23.193798,37.57726
23.09307,37.787117
23.131357,37.67814
23.259943,37.72124
23.021927,37.768696
23.53551,38.169308
23.442747,38.041973
23.478514,38.05701
23.422094,38.1743
23.465828,37.979107
23.604504,38.17417
23.570456,38.32384
23.614143,38.22263
23.39633,38.08698
23.640842,38.49747
23.840935,38.578613
23.553932,38.09499
23.832603,38.68693
23.813019,38.573563
23.698288,38.300823
23.743216,38.485767
23.846342,38.62222
23.579561,38.474453
23.576067,38.369633
23.802265,38.755928
23.703321,38.470284
23.892185,38.63969
23.804457,38.65258
23.767448,38.89097
23.817211,38.613007
23.83022,38.644043
23.76167,38.60892
23.85609,38.700424
18.287607,32.905956
18.259592,32.792202
18.08942,32.870796
18.13413,32.407665
17.984995,32.507755
18.13853,32.98663
18.193605,32.42261
17.974651,32.92752
18.265331,32.38484
18.074194,32.862877
18.10157,32.583683
18.24921,32.884197
18.332079,32.804607
18.565702,33.02689
18.410456,32.95757
18.108772,32.64002
18.288584,33.01625
18.379381,33.124447
18.30386,32.74207
18.221222,33.08447
18.049562,33.01538
18.391972,33.308823
18.456821,33.164658
18.419018,33.297504
18.543802,33.0606
18.454319,33.20322
18.392824,33.11301
18.32647,32.959938
18.413744,32.905067
18.54902,32.94638
18.52665,33.006256
18.693409,33.4873
18.861326,33.425545
18.759123,33.593807
18.938663,33.207718
18.717712,33.6067
18.754322,33.244774
18.827631,33.163265
18.871841,33.263237
18.638918,33.447296
19.34274,34.05731
19.05647,33.718243
19.410032,33.94784
19.176157,33.685463
19.045017,33.567005
19.220531,33.759956
19.038921,33.4266
19.180264,33.875698
18.950703,33.701336
19.115171,33.85307
19.749056,34.35267
19.417063,33.99671
19.559875,34.056732
19.796862,34.286198
19.74144,34.17796
19.296444,33.966488
19.720507,34.186417
19.463343,34.10522
19.46726,34.177715
19.766956,34.312702
20.103907,34.541866
19.868656,34.550617
19.829895,34.492798
20.019976,34.657154
19.851309,34.581024
19.936731,34.745216
19.840979,34.476204
19.691687,34.69667
19.817919,34.523067
19.757542,34.897552
20.309958,34.91253
20.491413,35.16935
20.393322,34.87963
20.08066,34.781433
20.320465,34.820087
20.472412,34.921165
20.327097,34.763138
20.180563,34.91043
20.275433,34.999153
20.379896,35.012283
20.566647,34.951595
20.366663,35.05822
20.744,35.14523
20.91055,35.423134
20.393703,34.99418
20.59141,35.22767
20.651758,35.250374
20.689583,35.006283
20.495153,35.27136
20.657969,34.801292
20.955862,35.54786
21.156736,35.512688
21.078085,35.813198
20.900274,35.928112
20.957054,35.720367
21.184004,35.73754
20.831684,35.518505
21.094175,35.8026
21.088747,35.83762
20.79111,35.12249
21.448576,36.172047
21.37014,36.208714
21.376797,36.30622
21.511806,36.053455
21.571058,36.1254
21.555923,36.386295
21.754099,35.927563
21.443512,36.10781
21.598518,35.890873
21.763313,36.582497
21.335096,35.91824
21.634247,36.281666
21.555872,36.424953
22.067719,36.360657
21.833078,36.547596
21.825706,36.666748
21.643736,36.493603
21.747002,36.262783
21.83374,36.32539
22.112644,37.028667
21.975748,36.97729
22.305798,36.97447
22.010809,36.842033
22.166105,36.82373
21.953568,36.9134
22.134562,37.044376
21.993925,37.051453
22.27125,36.55685
22.328,36.59516
22.428314,37.38029
22.71383,37.53298
22.572178,37.24043
22.5457,37.197807
22.493351,37.2787
22.402273,37.295033
22.554722,36.879375
22.24129,37.411232
22.663275,37.493687
22.76386,37.87852
22.647263,37.85661
23.050014,37.554504
22.728483,37.750805
22.886497,37.861862
22.737204,37.82536
22.776596,37.468582
22.844934,37.600815
22.839964,37.815083
23.286537,38.107388
22.940565,38.12374
23.088715,38.125294
23.00744,38.01094
22.95875,38.05615
22.961653,38.14505
23.10186,38.048912
23.190783,38.01473
23.065739,38.151646
23.290228,38.359737
23.320244,38.385376
23.14492,38.410263
23.317123,38.487904
23.227427,38.36645
23.324736,38.53726
22.957113,38.229332
23.110634,38.35182
23.399866,38.452576
23.233318,38.561684
23.556883,38.52945
23.410816,38.39544
23.69697,38.590065
23.614023,38.782978
23.405012,38.419464
23.443329,38.594906
23.60869,38.701088
23.405077,38.581753
23.477837,38.68348
23.481396,38.586166
23.498716,38.59062
23.50982,38.902298
23.68921,38.930573
23.665752,38.80757
23.553843,38.97234
23.648159,38.809166
