x,y
17.091753,39.03235
17.467653,38.855614
17.233833,38.991856
17.41757,38.94692
17.350302,39.133446
17.537016,39.108913
17.634714,39.252884
17.43207,39.221577
17.434216,39.327156
17.398302,39.051666
17.503817,38.99846
17.461403,39.16402
17.46022,39.227695
17.51968,39.703377
17.536787,39.712883
17.897692,39.524853
17.830791,39.439377
17.83255,39.554356
17.778025,39.62131
17.798203,39.68027
17.73433,39.62534
17.631237,39.755173
17.737759,39.89413
17.799284,40.21323
17.805666,39.610264
17.687777,40.063442
17.625034,39.92964
17.714582,39.710392
17.866322,40.101467
17.863497,40.204422
17.73786,40.085968
17.458466,39.914314
17.805294,40.248913
17.719233,40.241825
17.915346,40.17743
17.771534,40.277664
17.89187,40.122692
17.837458,40.26496
17.762905,40.30987
17.783905,40.29658
17.823223,40.18932
17.8625,40.260963
17.665674,40.169357
17.774569,39.98252
14.152146,32.99385
14.282527,32.9297
13.960824,32.788963
14.208737,33.04215
14.392291,32.499805
14.410247,32.571224
14.32652,32.946762
14.578499,32.478302
14.175012,32.95336
14.1675825,32.882835
14.603361,32.4786
14.097564,32.976685
14.427688,32.99389
14.239504,33.037495
14.063517,32.776703
14.447733,33.00179
14.615126,32.493156
14.489922,33.110847
14.190957,33.005367
14.483332,32.922844
14.254992,33.06754
14.402653,33.315014
14.326689,33.478214
14.177994,33.3943
14.423569,33.267143
14.402744,33.276424
14.433794,33.12324
14.476751,33.204277
14.687102,33.522503
14.55822,32.631737
14.502621,33.064377
14.617734,33.684345
14.962673,33.80536
14.724688,33.661827
14.651121,33.529285
14.606802,33.488823
14.747821,33.471508
14.601324,33.458607
14.740252,33.398674
14.658474,33.518715
14.766172,33.428432
15.021051,34.261604
14.736479,34.064724
14.737113,34.014168
15.195256,34.289597
14.769616,34.120037
14.871482,33.86503
14.986856,33.985897
14.850687,33.966003
14.845684,33.888023
15.152022,33.95138
15.117084,34.68777
15.376204,34.51867
15.318194,34.646458
15.362117,34.582485
15.20999,34.35648
15.449201,34.56251
15.103815,34.43038
15.102051,34.357845
15.1333885,34.436504
15.274054,34.510117
15.574326,35.02961
15.335219,35.0446
15.273997,35.242817
15.37073,35.124413
15.371591,35.21296
15.286284,34.96536
15.387703,34.972397
15.286712,34.94676
15.462778,35.18286
15.402106,35.21685
15.832582,35.238285
15.699463,35.158615
15.827687,35.279102
15.720672,35.49602
15.740154,35.523987
15.638574,35.596634
15.732105,35.33573
15.792643,35.30333
15.543036,35.565132
15.522899,35.692444
15.750178,35.954254
15.86435,35.72067
15.999896,35.690334
15.970388,36.25119
15.999544,35.986904
15.793001,35.871284
15.965695,35.892334
15.985485,35.83331
15.654087,35.79644
15.7655735,35.872658
15.904233,36.430683
16.039938,36.49505
16.037144,36.472157
15.904963,36.483658
16.08942,36.588272
15.939233,36.309395
16.141043,36.61948
16.029987,36.587666
16.19617,35.803978
15.920396,36.565044
16.05812,36.664066
16.483734,36.925983
16.181211,36.92978
16.21689,36.936863
16.361975,37.142097
16.351824,37.019524
16.298351,37.03932
16.230095,36.93041
15.948592,36.684395
16.38238,36.768215
16.370409,36.875954
16.058367,37.265854
16.602245,37.222446
16.43889,36.94714
16.55653,37.406437
16.658075,37.76014
16.468842,37.4526
16.288212,37.515457
16.483377,37.43588
16.274778,37.347687
16.588364,37.391033
16.60595,37.96223
16.592733,38.30843
16.72927,38.232956
16.389061,38.308926
16.558857,37.97393
16.557497,38.05473
16.572441,37.914043
16.564606,37.9193
16.586466,37.903946
16.70761,38.21812
16.69184,38.694344
16.771597,38.52073
16.834316,38.4507
16.816643,38.412266
16.77824,38.540737
16.696873,38.7725
16.808609,38.832767
16.74507,38.488586
16.906826,38.23232
17.583157,39.08897
16.755108,39.113144
16.933565,38.97778
17.161638,38.807274
16.930122,39.010128
16.837961,38.960182
17.179956,39.160954
17.095133,39.03198
16.967636,38.94182
17.207144,39.432854
17.23764,39.50767
17.409014,39.62824
17.19929,39.471516
17.163958,39.457336
16.894567,39.267685
17.063025,39.393467
17.063114,39.474422
16.962252,39.36648
17.280962,39.553413
17.25247,39.698143
17.318386,39.808697
17.154015,39.85012
17.178461,39.945534
17.230513,39.67493
17.326092,39.79737
17.155354,39.736725
17.408344,40.073322
17.511686,39.820282
17.294043,39.869614
17.498539,40.069443
17.489769,40.068172
17.397509,40.103638
17.660938,40.273666
17.499279,40.13176
17.548727,40.19688
17.745998,40.244217
17.585402,40.318203
17.622442,40.230347
17.400007,40.06466
17.589548,40.460438
17.490341,40.369526
17.37779,39.869377
17.517542,40.388527
17.528362,40.3787
17.706345,40.353745
17.455494,40.458023
17.586329,40.411903
17.579815,40.36919
17.365023,40.445637
13.780639,33.072258
13.782923,33.127064
13.813253,33.121605
13.811033,33.18612
13.706315,33.091236
13.63532,33.214066
13.689574,33.056
13.776807,33.02668
13.60106,33.055748
13.582679,33.411037
13.704288,33.140533
14.020039,33.25353
13.872771,33.34264
13.979385,33.20382
14.065284,33.20301
13.96694,33.345005
13.861076,33.302048
13.821153,33.404285
14.118905,32.730896
13.969487,33.3707
13.789555,33.33416
13.792903,33.77669
13.802562,33.586807
13.780518,33.48456
13.788711,33.66993
13.9872265,33.511013
14.109408,33.481144
13.743782,33.37695
13.887686,33.638676
13.911527,33.705143
13.932824,33.562737
14.195453,33.68663
13.970237,33.836765
14.048437,33.957573
14.1315155,33.86857
14.575682,34.110424
14.210297,33.880894
14.125513,34.14763
14.330108,33.834896
14.260837,33.995567
14.213295,34.121624
14.173919,33.69611
14.4752865,34.195377
14.540913,34.330143
14.290851,34.486996
14.49733,34.529537
14.815602,34.47246
14.592219,34.378784
14.648805,34.45838
14.387263,34.468967
14.102476,34.288013
14.208546,34.147938
14.655444,34.866985
14.8334465,34.9852
14.928155,35.120487
14.677887,35.296696
14.682399,34.55855
14.764001,34.66909
14.617026,34.647194
14.830187,34.89141
14.549708,35.09197
14.810266,35.12921
15.125533,35.25246
15.02592,35.490936
14.828485,35.551205
15.011369,35.09958
14.791376,35.61406
14.89696,35.458637
14.988045,35.32384
14.895955,35.381874
14.676021,35.67291
14.96551,35.34205
15.32888,35.655987
15.426904,35.65959
15.287782,35.453632
15.224271,35.94711
15.150577,35.512005
15.254458,35.524372
15.036333,35.84988
15.34211,35.67911
15.275445,35.509823
15.277768,35.54101
15.049332,36.396713
15.086249,36.118767
15.404262,36.50691
15.377405,36.54614
15.538371,36.55067
15.496325,36.376907
15.016382,36.5674
15.410721,36.45766
15.46795,36.50558
15.641549,36.19027
15.744185,36.28315
15.676858,36.797676
15.495512,36.671246
15.615129,36.677227
15.678056,36.80614
15.751217,36.737076
15.494666,36.730915
15.373394,36.737118
15.591871,36.590313
16.044325,36.723434
15.743653,36.851025
16.057056,36.920345
15.896317,37.120728
15.726992,37.09181
15.892772,37.311863
15.879496,36.97134
15.7795725,37.527187
15.782721,37.06201
15.907999,37.185387
16.130419,36.76994
16.22679,36.88604
15.964866,37.903694
16.329422,37.949863
16.11746,37.64245
15.912993,37.860264
16.006079,37.871803
16.316038,37.683758
16.062883,37.752277
15.950974,37.981762
16.454885,37.530994
16.173014,37.93551
16.139853,37.970184
16.435165,38.521946
16.287247,38.09022
16.453506,38.504692
16.161942,38.526344
16.315933,38.277954
16.401339,38.17035
16.181665,38.53594
16.212013,38.45586
16.221952,38.34802
16.209005,38.52071
16.412622,38.72932
16.618013,38.85435
16.759851,38.840263
16.649296,39.06321
16.475395,38.673157
16.62215,39.14448
16.615786,38.9161
16.413198,38.589233
16.434137,38.88835
16.46465,38.884815
16.497934,38.838207
16.579416,39.10418
16.60189,39.35233
