,sc_id,spot,celltype,indice,x,y,UMAP1,UMAP2,core1,core2,scale_factor,adj_UMAP1,adj_UMAP2
468,415,46,ExcitatoryL5,130,1875,6375,15.985485076904297,35.833309173583984,15.874819946289062,35.88693771362305,995.8018914824146,1985.2005463877995,6321.596598391659
469,386,46,ExcitatoryL5,130,1875,6375,15.65408706665039,35.79644012451172,15.874819946289062,35.88693771362305,995.8018914824146,1655.1937809434512,6284.882329588339
470,1473,46,Astro,130,1875,6375,15.765573501586914,35.872657775878906,15.874819946289062,35.88693771362305,995.8018914824146,1766.2121837278723,6360.780010984132
471,174,47,ExcitatoryL6,131,1875,7125,15.9042329788208,36.43068313598633,16.023695252158426,36.45631339333274,555.760316574452,1808.607609151178,7110.755720063272
472,552,47,ExcitatoryL6,131,1875,7125,16.03993797302246,36.49504852294922,16.023695252158426,36.45631339333274,555.760316574452,1884.0270596894268,7146.5274478982055
473,1012,47,ExcitatoryL6,131,1875,7125,16.03714370727539,36.4721565246582,16.023695252158426,36.45631339333274,555.760316574452,1882.4741176732418,7133.804983680969
474,232,47,Endo,131,1875,7125,15.904962539672852,36.48365783691406,16.023695252158426,36.45631339333274,555.760316574452,1809.0130701212738,7140.1969566213065
475,433,47,Vip,131,1875,7125,16.089420318603516,36.58827209472656,16.023695252158426,36.45631339333274,555.760316574452,1911.5273837344,7198.337409661383
476,82,47,Vip,131,1875,7125,15.93923282623291,36.30939483642578,16.023695252158426,36.45631339333274,555.760316574452,1828.0591354289893,7043.348496302726
477,704,47,ExcitatoryL5,131,1875,7125,16.141042709350586,36.61948013305664,16.023695252158426,36.45631339333274,555.760316574452,1940.217059958322,7215.681598923375
478,640,47,ExcitatoryL5,131,1875,7125,16.029987335205078,36.58766555786133,16.023695252158426,36.45631339333274,555.760316574452,1878.4968900659203,7198.000320541147
479,967,47,ExcitatoryL5,131,1875,7125,16.196170806884766,35.803977966308594,16.023695252158426,36.45631339333274,555.760316574452,1970.855068896065,6762.457856564329
480,580,47,ExcitatoryL5,131,1875,7125,15.920395851135254,36.56504440307617,16.023695252158426,36.45631339333274,555.760316574452,1817.5902921854108,7185.428380396468
481,729,47,ExcitatoryL5,131,1875,7125,16.058120727539062,36.664066314697266,16.023695252158426,36.45631339333274,555.760316574452,1894.1323130957687,7240.4608293468145
482,1277,48,ExcitatoryL6,132,1875,7875,16.483734130859375,36.92598342895508,16.28254613876343,36.92525405883789,910.7458854485614,2058.2311360030403,7875.664270833195
483,1422,48,Pvalb,132,1875,7875,16.181211471557617,36.929779052734375,16.28254613876343,36.92525405883789,910.7458854485614,1782.7098687890075,7879.1211195729
484,362,48,Pvalb,132,1875,7875,16.216890335083008,36.93686294555664,16.28254613876343,36.92525405883789,910.7458854485614,1815.2042469422377,7885.572745813737
485,1028,48,ExcitatoryL4,132,1875,7875,16.361974716186523,37.14209747314453,16.28254613876343,36.92525405883789,910.7458854485614,1947.3392500751156,8072.489247366388
486,494,48,ExcitatoryL4,132,1875,7875,16.351823806762695,37.01952362060547,16.28254613876343,36.92525405883789,910.7458854485614,1938.094351083803,7960.855615502858
487,448,48,ExcitatoryL4,132,1875,7875,16.298351287841797,37.03932189941406,16.28254613876343,36.92525405883789,910.7458854485614,1889.3944744920245,7978.886816466748
488,1228,48,Endo,132,1875,7875,16.23009490966797,36.9304084777832,16.28254613876343,36.92525405883789,910.7458854485614,1827.2302589145895,7879.694365846319
489,405,48,Endo,132,1875,7875,15.948592185974121,36.68439483642578,16.28254613876343,36.92525405883789,910.7458854485614,1570.8528115678546,7655.6384542158285
490,168,48,Endo,132,1875,7875,16.38237953186035,36.76821517944336,16.28254613876343,36.92525405883789,910.7458854485614,1965.9228519933909,7731.977486735976
491,365,48,Endo,132,1875,7875,16.37040901184082,36.875953674316406,16.28254613876343,36.92525405883789,910.7458854485614,1955.0207501389232,7830.099877646024
492,833,49,Pvalb,133,1875,8625,16.058366775512695,37.26585388183594,16.441768074035643,37.374467086791995,848.0517043089668,1549.8558753533432,8532.890386426556
493,1486,49,ExcitatoryL4,133,1875,8625,16.602245330810547,37.22244644165039,16.441768074035643,37.374467086791995,848.0517043089668,2011.0930111107848,8496.078632797513
494,677,49,ExcitatoryL4,133,1875,8625,16.43889045715332,36.947139739990234,16.441768074035643,37.374467086791995,848.0517043089668,1872.5596320985978,8262.604315246937
495,905,49,ExcitatoryL4,133,1875,8625,16.556529998779297,37.406436920166016,16.441768074035643,37.374467086791995,848.0517043089668,1972.324045868633,8652.112071679312
496,175,49,ExcitatoryL4,133,1875,8625,16.6580753326416,37.76013946533203,16.441768074035643,37.374467086791995,848.0517043089668,2058.4397393151835,8952.07011792577
497,1033,49,ExcitatoryL4,133,1875,8625,16.468841552734375,37.452598571777344,16.441768074035643,37.374467086791995,848.0517043089668,1897.959709752032,8691.259539002016
498,496,49,ExcitatoryL4,133,1875,8625,16.288211822509766,37.51545715332031,16.441768074035643,37.374467086791995,848.0517043089668,1744.7763591861833,8744.566866209974
499,435,49,ExcitatoryL4,133,1875,8625,16.48337745666504,37.43587875366211,16.441768074035643,37.374467086791995,848.0517043089668,1910.2869078541032,8677.080268753654
500,537,49,Endo,133,1875,8625,16.274778366088867,37.347686767578125,16.441768074035643,37.374467086791995,848.0517043089668,1733.38409357368,8602.28890464874
501,140,49,Endo,133,1875,8625,16.588363647460938,37.39103317260742,16.441768074035643,37.374467086791995,848.0517043089668,1999.3206258874711,8639.048897309502
502,427,50,Pvalb,135,1875,9375,16.60594940185547,37.96223068237305,16.58644905090332,38.079661178588864,1239.547574569125,1899.171612725984,9229.439313235234
503,1145,50,ExcitatoryL4,135,1875,9375,16.59273338317871,38.30842971801758,16.58644905090332,38.079661178588864,1239.547574569125,1882.7897288297486,9658.569488186584
504,555,50,ExcitatoryL4,135,1875,9375,16.729270935058594,38.23295593261719,16.58644905090332,38.079661178588864,1239.547574569125,2052.0345201000637,9565.016140549978
505,379,50,ExcitatoryL4,135,1875,9375,16.389060974121094,38.30892562866211,16.58644905090332,38.079661178588864,1239.547574569125,1630.3280881757287,9659.184193023215
506,467,50,ExcitatoryL4,135,1875,9375,16.558856964111328,37.97393035888672,16.58644905090332,38.079661178588864,1239.547574569125,1840.798295739687,9243.941618881
507,408,50,ExcitatoryL4,135,1875,9375,16.557497024536133,38.05472946166992,16.58644905090332,38.079661178588864,1239.547574569125,1839.1125859376932,9344.095950763282
508,492,50,ExcitatoryL4,135,1875,9375,16.57244110107422,37.91404342651367,16.58644905090332,38.079661178588864,1239.547574569125,1857.636479764653,9169.708917109605
509,398,50,ExcitatoryL4,135,1875,9375,16.564605712890625,37.9193000793457,16.58644905090332,38.079661178588864,1239.547574569125,1847.9241433458717,9176.2247883779
